Pinzo Comprehensive SEO Strategy — GBP / GMB Keyword Universe,,,,,,,,,,
KPI,Value,,,,,,,,Cluster,Volume
Total keywords in uploaded universe,5964,,,,,,,,Core / Navigational Head Terms,284730
Total monthly search volume,381900,,,,,,,,Login / Account / App,32290
Average keyword difficulty,56.1,,,,,,,,Setup / Add / Create / Register,14990
"Low-KD opportunity keywords (vol ≥70, KD ≤50)",58,,,,,,,,Verification / Code / Postcard,7720
Low-KD opportunity volume,26780,,,,,,,,Other / Long-tail,7240
Commercial + transactional volume,60250,,,,,,,,Categories / Services / Description,5830
Navigational volume to use cautiously,308730,,,,,,,,Support / Customer Care / Contact,5510
High business-fit volume,318770,,,,,,,,Free / Cost / Pricing,4800
P1 keyword count,15,,,,,,,,Suspension / Reinstatement / Delete,4590
P2 keyword count,76,,,,,,,,Photos / Logo / Cover / Videos,3300
Recommended Strategic Focus,Execution Meaning,Why This Wins,Immediate Action,Month 1 Output,Month 2 Output,Month 3 Output,Long-term Moat,,,
Do not chase only head terms,Use homepage/product page for head relevance; win long-tail problem clusters first,Head terms are high KD/navigational; problem queries are easier and closer to need,Build the 10 core pages first,Product + service + verification + setup + optimization + reviews + posts,Industry pages + lead magnets,pSEO validation,Pinzo becomes a GBP operating-system authority,,,
Product-led SEO,Every cluster should have a tool/checklist/generator,Tools convert traffic into leads and earn natural links,Launch free GBP audit first,Audit + description generator,Review reply + post ideas,Category finder + ROI calculator,Owned acquisition engine,,,
Industry wedge,"Start with doctors/clinics, then jewellery/restaurants/salons/coaching",Industry pages speak the buyer’s pain better than generic SEO pages,Publish doctors/clinics page,Add healthcare case study framework,Expand to top 5 industries,Launch city × industry pages,High-converting vertical SEO,,,
Internal linking as architecture,Every guide links to feature/service/industry page,Traffic must flow into conversion pages,Create link rules,Use modules across all pages,Audit links monthly,Automate related links,Topical authority + better conversion,,,
URL,Page Type,Primary KW,Mapped Volume,Avg KD,Business Fit,Phase,CTA,,,
/google-business-profile-management-tool/,Product Landing,google my business,285540,65.1,5,P1 / Month 1,Start free trial + Run free GBP audit,,,
/guides/google-business-profile-verification/,Guide,google my business code,7470,37,5,P1 / Month 1,Check verification readiness,,,
/guides/google-business-profile-optimization-checklist/,Pillar Guide,google my business optimization,2080,59.8,5,P1 / Month 1,Run free GBP audit,,,
/features/google-posts-scheduler/,Feature Landing,google my business offers,1530,55,5,P1 / Month 1,Schedule first Google Post,,,
/guides/remove-bad-google-reviews/,Troubleshooting Guide,how to remove bad reviews from google my business,990,36.5,5,P1 / Month 1,Analyze review risk / Get reply suggestion,,,
/features/google-review-management/,Feature Landing,google my business reviews,990,74,5,P1 / Month 1,Connect GBP / Try AI review replies,,,
/google-my-business-management-service/,Service Landing,google my business agency,550,28,5,P1 / Month 1,Book consultation / WhatsApp Pinzo team,,,
/guides/google-business-profile-suspended/,Troubleshooting Guide,google my business suspended,440,43,5,P2 / Month 2,Suspension checklist / Consultation,,,
/guides/google-my-business-review-link/,Guide,google my business review link,400,56,5,P2 / Month 2,Generate review request workflow,,,
/google-my-business-optimization-service/,Service Landing,google my business optimization service,170,,5,P1 / Month 1,Get profile optimization audit,,,
/guides/add-business-to-google-maps/,Guide,add my business to google,14450,60.3,4,P1 / Month 1,Create profile checklist + Pinzo onboarding,,,
/guides/google-business-profile-ownership-transfer/,Guide,claim my business on google,1310,48,4,P2 / Month 2,Check access risk,,,
/guides/google-my-business-services/,Guide,google my business services,1300,35,4,P1 / Month 1,Generate missing services using AI,,,
/guides/google-business-profile-posts-examples/,Guide,google my business post image size,750,26,4,P2 / Month 2,Generate 30 post ideas,,,
/features/google-business-profile-reporting/,Feature Landing,google my business api has not been used in project,410,,4,P2 / Month 2,See sample white-label report,,,
How to use this workbook,,,,,,,,,,
1. Start with Dashboard + Page Roadmap. Build P1 pages before chasing blog volume.,,,,,,,,,,
2. Use Keyword Mapping to see which keywords roll into each URL. Avoid making one page per keyword.,,,,,,,,,,
3. Use Content Calendar for 26 weeks of production and Programmatic SEO only after core pages index.,,,,,,,,,,
